X1,Year_draft,Rd,Pk,Tm_draft,Player_draft,Age_draft,Pos_draft,Born,College,From,To,G_draft,MP_draft,PTS,TRB,AST,STL,BLK,FGPercentage,TwoPPercentage,ThreePPercentage,FTPercentage,WS_draft,WSPer48_draft,mergename,Player_season,Pos_season,Age_season,Tm_season,G_season,MP_season,PER,TSPercentage,ThreePAr,FTr,ORBPercentage,DRBPercentage,TRBPercentage,ASTPercentage,STLPercentage,BLKPercentage,TOVPercentage,USGPercentage,OWS,DWS,WS_season,WSPer48_season,OBPM,DBPM,BPM,VORP,Year_season,projage,agecheck,sincedrafted
0,2017,1,1,PHI,Markelle Fultz,19.029,G,us,University of Washington,2018,2018,14,18.1,7.1,3.1,3.8,0.9,0.3,0.405,0.409,0,0.47600000000000003,0.2,0.043,markellefultz,Markelle Fultz,SG,19,PHI,14,253,12.4,0.41600000000000004,0.009000000000000001,0.18899999999999997,4.9,13.1,9.2,31.3,2.3,1.3,12.4,23.1,-0.2,0.4,0.2,0.043,-3.8,0.8,-3,-0.1,2018,20.029,1.029,1
1,2017,1,2,LAL,Lonzo Ball,19.243,G,us,"University of California, Los Angeles",2018,2018,52,34.2,10.2,6.9,7.2,1.7,0.8,0.36,0.42,0.305,0.451,2,0.053,lonzoball,Lonzo Ball,PG,20,LAL,52,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,-0.5,2.5,2,0.053,-0.8,2.5,1.7,1.7,2018,20.243,0.24299999999999855,1
2,2017,1,3,BOS,Jayson Tatum,19.116,F,us,Duke University,2018,2018,80,30.5,13.9,5,1.6,1,0.7,0.475,0.49200000000000005,0.434,0.826,7.1,0.139,jaysontatum,Jayson Tatum,SF,19,BOS,80,2438,15.3,0.586,0.29,0.309,2.3,15.6,9,8.3,1.7,2,10.7,19.5,3,4,7.1,0.139,-0.5,1.5,1,1.8,2018,20.116,1.1159999999999997,1
3,2017,1,4,PHO,Josh Jackson,20.137,F-G,us,University of Kansas,2018,2018,77,25.4,13.1,4.6,1.5,1,0.5,0.41700000000000004,0.46399999999999997,0.263,0.634,-0.7,-0.018000000000000002,joshjackson,Josh Jackson,SF,20,PHO,77,1959,11.8,0.48,0.233,0.299,5.1,14.2,9.6,10.1,2,1.4,12.2,26,-2,1.2,-0.7,-0.018000000000000002,-3.1,-1.2,-4.3,-1.1,2018,21.137,1.1370000000000005,1
4,2017,1,5,SAC,De'Aaron Fox,19.189,G,us,University of Kentucky,2018,2018,73,27.8,11.6,2.8,4.4,1,0.3,0.41200000000000003,0.436,0.307,0.723,-0.6,-0.013999999999999999,deaaronfox,De'Aaron Fox,PG,20,SAC,73,2026,11.2,0.478,0.192,0.245,1.8,10,5.7,24.6,1.7,0.9,16.4,23.4,-1.7,1.1,-0.6,-0.013999999999999999,-2.8,-1.5,-4.4,-1.2,2018,20.189,0.18900000000000006,1
5,2017,1,6,ORL,Jonathan Isaac,19.267,F,us,Florida State University,2018,2018,27,19.9,5.4,3.7,0.7,1.2,1.1,0.379,0.39399999999999996,0.348,0.76,0.2,0.021,jonathanisaac,Jonathan Isaac,PF,20,ORL,27,536,9.8,0.465,0.317,0.172,3.3,17.2,10.2,4.8,3,4.5,14.8,15,-0.6,0.8,0.2,0.021,-4.9,3.1,-1.8,0,2018,20.267,0.26699999999999946,1
6,2017,1,7,MIN,Lauri Markkanen,20.035999999999998,F-C,fi,University of Arizona,2018,2018,68,29.7,15.2,7.5,1.2,0.6,0.6,0.434,0.49700000000000005,0.36200000000000004,0.843,3.3,0.079,laurimarkkanen,Lauri Markkanen,PF,20,CHI,68,2020,15.6,0.552,0.465,0.193,4,23.7,13.5,6.4,0.9,1.8,8.2,21.9,1.7,1.6,3.3,0.079,-0.6,-1.3,-1.9,0.1,2018,21.035999999999998,1.0359999999999978,1
7,2017,1,8,NYK,Frank Ntilikina,18.334,G,be,NA,2018,2018,78,21.9,5.9,2.3,3.2,0.8,0.2,0.364,0.385,0.318,0.721,-0.9,-0.026000000000000002,frankntilikina,Frank Ntilikina,PG,19,NYK,78,1706,7,0.43700000000000006,0.314,0.136,2.4,9.1,5.8,20,1.9,0.9,19.8,16.9,-2,1.1,-0.9,-0.026000000000000002,-3.5,-0.5,-3.9,-0.8,2018,19.334,0.33399999999999963,1
8,2017,1,9,DAL,Dennis Smith,19.214000000000002,G,us,North Carolina State University,2018,2018,69,29.7,15.2,3.8,5.2,1,0.3,0.395,0.436,0.313,0.6940000000000001,-0.7,-0.017,dennissmith,Dennis Smith,PG,20,DAL,69,2049,12.8,0.473,0.331,0.18899999999999997,2.6,11.8,7,29.5,1.7,0.8,15,28.9,-2.4,1.7,-0.7,-0.017,-1.5,-0.7,-2.3,-0.1,2018,20.214000000000002,0.2140000000000022,1
9,2017,1,10,SAC,Zach Collins,19.22,C-F,us,Gonzaga University,2018,2018,66,15.8,4.4,3.3,0.8,0.3,0.5,0.39799999999999996,0.455,0.31,0.643,0.6,0.03,zachcollins,Zach Collins,C,20,POR,66,1045,7.5,0.475,0.391,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,0.03,-4.1,0.9,-3.2,-0.3,2018,20.22,0.21999999999999886,1
10,2017,1,11,CHO,Malik Monk,19.143,G,us,University of Kentucky,2018,2018,63,13.6,6.7,1,1.4,0.3,0.1,0.36,0.385,0.342,0.8420000000000001,0,0.001,malikmonk,Malik Monk,SG,19,CHO,63,854,10.3,0.47700000000000004,0.5720000000000001,0.08900000000000001,1,7.5,4.2,16.9,1.1,0.9,9.8,24.9,-0.5,0.5,0,0.001,-1,-3.4,-4.4,-0.5,2018,20.143,1.1430000000000007,1
11,2017,1,12,DET,Luke Kennard,21.003,G,us,Duke University,2018,2018,73,20,7.6,2.4,1.7,0.6,0.2,0.44299999999999995,0.46299999999999997,0.415,0.855,2.6,0.085,lukekennard,Luke Kennard,SG,21,DET,73,1463,12.1,0.56,0.419,0.163,1.6,11.9,6.6,12.7,1.5,0.8,12.2,17.2,1.1,1.4,2.6,0.085,-1.1,-0.4,-1.5,0.2,2018,22.003,1.0030000000000001,1
12,2017,1,13,DEN,Donovan Mitchell,20.293,G,us,University of Louisville,2018,2018,79,33.4,20.5,3.7,3.7,1.5,0.3,0.43700000000000006,0.502,0.34,0.805,5.2,0.095,donovanmitchell,Donovan Mitchell,SG,21,UTA,79,2638,16.7,0.541,0.40399999999999997,0.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,1.4,3.8,5.2,0.095,1.3,-0.2,1.1,2.1,2018,21.293,0.29299999999999926,1
13,2017,1,14,MIA,Bam Adebayo,19.344,C-F,us,University of Kentucky,2018,2018,69,19.8,6.9,5.5,1.5,0.5,0.6,0.512,0.523,0,0.721,4.2,0.14800000000000002,bamadebayo,Bam Adebayo,C,20,MIA,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.14800000000000002,-1.6,1.8,0.2,0.8,2018,20.344,0.3440000000000012,1
14,2017,1,15,POR,Justin Jackson,22.092,G-F,us,University of North Carolina,2018,2018,68,22.1,6.7,2.8,1.1,0.4,0.2,0.442,0.547,0.308,0.722,1,0.031,justinjackson,Justin Jackson,SF,22,SAC,68,1506,9.2,0.521,0.442,0.086,2,12.6,7.1,7.2,0.9,0.8,8.4,14.2,0.4,0.5,1,0.031,-2,-1.5,-3.5,-0.6,2018,23.092,1.0919999999999987,1
15,2017,1,16,CHI,Justin Patton,20.012999999999998,C,us,Creighton University,2018,2018,1,4,2,0,0,1,0,0.5,0.5,NA,NA,0,0.151,justinpatton,Justin Patton,C,20,MIN,1,4,19.8,0.5,0,0,0,0,0,0,12.5,0,0,22.1,0,0,0,0.151,-0.7,4,3.3,0,2018,21.012999999999998,1.0129999999999981,1
16,2017,1,17,MIL,D.J. Wilson,21.129,F,us,University of Michigan,2018,2018,22,3.2,1,0.5,0.1,0.1,0,0.563,0.636,0.4,0.5,0.1,0.054000000000000006,djwilson,D.J. Wilson,PF,21,MIL,22,71,10.3,0.622,0.313,0.125,3.3,13.2,8.3,6.1,2.1,1.2,19.2,13.3,0,0.1,0.1,0.054000000000000006,-2.9,-1.2,-4.1,0,2018,22.129,1.1290000000000013,1
17,2017,1,18,IND,T.J. Leaf,20.058,F,il,"University of California, Los Angeles",2018,2018,53,8.7,2.9,1.5,0.2,0.1,0.1,0.47100000000000003,0.489,0.429,0.625,0.8,0.08199999999999999,tjleaf,T.J. Leaf,PF,20,IND,53,459,10.7,0.545,0.309,0.11800000000000001,7.2,13,10.1,2.8,0.5,0.8,6.5,14.9,0.5,0.3,0.8,0.08199999999999999,-1.9,-2.9,-4.8,-0.3,2018,21.058,1.0579999999999998,1
18,2017,1,19,ATL,John Collins,19.277,F,us,Wake Forest University,2018,2018,74,24.1,10.5,7.3,1.3,0.6,1.1,0.5760000000000001,0.598,0.34,0.715,5.4,0.145,johncollins,John Collins,PF,20,ATL,74,1785,18.3,0.62,0.086,0.341,11,22.8,16.9,8.9,1.3,3.8,14.3,17.9,3.4,2,5.4,0.145,-0.2,1.9,1.7,1.7,2018,20.277,0.277000000000001,1
