
,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date▲,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-17,@,GSW,W,122,121,47,97,.485,15,41,.366,13,19,.684,10,43,28,9,5,12,16,,43,80,.538,16,30,.533,19,21,.905,6,41,34,5,9,17,25
2,2,2017-10-18,@,SAC,W,105,100,33,83,.398,12,45,.267,27,29,.931,12,44,19,7,3,14,14,,42,88,.477,8,23,.348,8,10,.800,9,42,19,5,4,17,20
3,3,2017-10-21,,DAL,W,107,91,39,82,.476,11,47,.234,18,22,.818,8,54,17,12,4,13,24,,31,84,.369,13,31,.419,16,21,.762,8,41,19,6,0,14,19
4,4,2017-10-23,,MEM,L,90,98,32,77,.416,9,38,.237,17,23,.739,9,39,25,5,2,16,31,,29,68,.426,6,19,.316,34,37,.919,3,38,16,5,2,12,21
5,5,2017-10-25,@,PHI,W,105,104,36,75,.480,12,39,.308,21,24,.875,7,40,22,11,13,19,13,,43,97,.443,12,36,.333,6,10,.600,12,43,29,14,7,14,19
6,6,2017-10-27,@,CHO,W,109,93,38,85,.447,22,57,.386,11,13,.846,7,51,21,5,6,15,26,,33,88,.375,11,29,.379,16,28,.571,11,44,16,6,5,9,14
7,7,2017-10-28,@,MEM,L,89,103,29,77,.377,14,38,.368,17,21,.810,8,43,18,4,3,17,23,,40,85,.471,14,33,.424,9,12,.750,6,42,26,10,6,9,20
8,8,2017-10-30,,PHI,L,107,115,33,83,.398,13,47,.277,28,38,.737,10,35,17,12,3,15,23,,44,80,.550,10,24,.417,17,24,.708,7,48,27,10,4,19,31
9,9,2017-11-01,@,NYK,W,119,97,42,88,.477,19,52,.365,16,21,.762,9,46,21,6,4,14,20,,39,90,.433,8,26,.308,11,13,.846,6,42,23,8,1,19,18
10,10,2017-11-03,@,ATL,W,119,104,42,89,.472,16,47,.340,19,23,.826,9,44,28,14,4,12,16,,39,81,.481,11,33,.333,15,18,.833,5,41,16,8,8,18,16
11,11,2017-11-05,,UTA,W,137,110,48,81,.593,23,39,.590,18,21,.857,5,42,26,9,7,20,24,,38,88,.432,13,34,.382,21,24,.875,8,33,22,7,3,13,18
12,12,2017-11-09,,CLE,W,117,113,36,77,.468,16,46,.348,29,36,.806,17,45,21,11,5,22,27,,45,81,.556,12,27,.444,11,14,.786,4,26,24,9,1,18,30
13,13,2017-11-11,,MEM,W,111,96,37,83,.446,16,45,.356,21,28,.750,11,46,18,14,4,15,19,,38,79,.481,6,20,.300,14,18,.778,5,41,23,9,5,19,20
14,14,2017-11-12,@,IND,W,118,95,43,90,.478,17,47,.362,15,18,.833,10,47,24,10,5,13,20,,37,83,.446,8,22,.364,13,21,.619,7,41,18,5,7,13,15
15,15,2017-11-14,,TOR,L,113,129,33,79,.418,12,39,.308,35,41,.854,14,48,21,4,4,19,27,,41,78,.526,14,30,.467,33,42,.786,5,36,28,11,4,12,30
16,16,2017-11-16,@,PHO,W,142,116,43,90,.478,21,44,.477,35,38,.921,12,51,27,9,9,14,20,,47,104,.452,10,30,.333,12,21,.571,16,47,28,9,5,14,22
17,17,2017-11-18,@,MEM,W,105,83,35,78,.449,18,43,.419,17,21,.810,9,45,21,8,9,16,24,,31,86,.360,7,27,.259,14,19,.737,15,48,18,6,7,12,18
18,18,2017-11-22,,DEN,W,125,95,45,82,.549,18,41,.439,17,23,.739,8,46,30,13,4,18,22,,35,87,.402,10,33,.303,15,23,.652,15,43,19,11,5,19,14
19,19,2017-11-25,,NYK,W,117,102,41,94,.436,18,47,.383,17,22,.773,9,42,30,12,6,7,15,,42,85,.494,4,17,.235,14,19,.737,6,40,29,4,3,18,20
20,20,2017-11-27,,BRK,W,117,103,42,86,.488,20,50,.400,13,20,.650,8,42,31,8,4,15,19,,40,86,.465,10,39,.256,13,17,.765,6,43,24,5,4,13,19
21,21,2017-11-29,,IND,W,118,97,42,86,.488,18,40,.450,16,21,.762,10,49,26,9,0,15,10,,42,88,.477,7,28,.250,6,6,1.000,6,36,18,9,7,14,17
22,22,2017-12-03,@,LAL,W,118,95,45,90,.500,14,37,.378,14,17,.824,7,43,17,10,4,16,23,,32,84,.381,9,28,.321,22,30,.733,11,45,16,9,6,20,22
23,23,2017-12-07,@,UTA,W,112,101,38,81,.469,18,42,.429,18,24,.750,8,46,22,10,5,17,25,,34,77,.442,11,30,.367,22,27,.815,4,32,17,10,5,13,21
24,24,2017-12-09,@,POR,W,124,117,40,75,.533,10,25,.400,34,42,.810,7,35,14,13,2,12,17,,45,88,.511,18,41,.439,9,12,.750,7,33,19,4,5,15,28
25,25,2017-12-11,,NOP,W,130,123,48,88,.545,17,45,.378,17,25,.680,4,36,30,12,7,9,15,,49,85,.576,18,33,.545,7,13,.538,6,41,32,6,2,18,19
26,26,2017-12-13,,CHO,W,108,96,39,88,.443,17,45,.378,13,19,.684,6,45,24,7,5,10,18,,36,87,.414,4,21,.190,20,27,.741,12,56,14,4,5,12,15
27,27,2017-12-15,,SAS,W,124,109,43,91,.473,18,50,.360,20,25,.800,12,45,20,15,3,13,16,,46,94,.489,10,26,.385,7,13,.538,12,39,22,10,5,17,17
28,28,2017-12-16,,MIL,W,115,111,35,76,.461,11,35,.314,34,42,.810,4,38,16,7,4,15,23,,38,82,.463,8,27,.296,27,33,.818,8,40,17,12,7,14,34
29,29,2017-12-18,,UTA,W,120,99,40,77,.519,17,43,.395,23,27,.852,12,52,25,5,7,14,13,,42,91,.462,8,27,.296,7,8,.875,5,32,17,12,1,6,22
30,30,2017-12-20,,LAL,L,116,122,37,90,.411,17,42,.405,25,32,.781,12,47,19,7,5,14,30,,40,85,.471,15,35,.429,27,43,.628,10,47,27,8,5,10,25
31,31,2017-12-22,,LAC,L,118,128,36,78,.462,17,40,.425,29,35,.829,9,43,16,4,4,17,26,,43,91,.473,18,42,.429,24,31,.774,9,38,24,8,5,8,25
32,32,2017-12-25,@,OKC,L,107,112,35,81,.432,12,37,.324,25,31,.806,12,38,23,11,4,13,20,,43,79,.544,8,18,.444,18,23,.783,9,40,21,9,10,14,20
33,33,2017-12-28,@,BOS,L,98,99,30,80,.375,14,43,.326,24,31,.774,7,43,16,9,3,16,23,,37,82,.451,8,29,.276,17,24,.708,10,44,18,9,8,16,22
34,34,2017-12-29,@,WAS,L,103,121,38,89,.427,14,48,.292,13,16,.813,8,35,15,11,2,14,13,,47,88,.534,18,36,.500,9,12,.750,10,45,23,12,5,16,15
35,35,2017-12-31,,LAL,W,148,142,49,106,.462,18,52,.346,32,39,.821,15,43,29,7,9,11,33,,53,105,.505,10,25,.400,26,37,.703,15,54,31,6,4,14,32
36,36,2018-01-03,@,ORL,W,116,98,42,89,.472,15,34,.441,17,21,.810,9,51,25,6,3,15,19,,35,91,.385,6,31,.194,22,25,.880,9,48,16,7,3,12,19
37,37,2018-01-04,,GSW,L,114,124,42,89,.472,17,50,.340,13,22,.591,6,38,20,7,3,10,17,,48,87,.552,13,30,.433,15,20,.750,6,45,35,6,6,12,18
38,38,2018-01-06,@,DET,L,101,108,38,90,.422,15,47,.319,10,11,.909,12,42,29,5,4,13,20,,38,75,.507,12,25,.480,20,27,.741,5,35,21,8,4,11,15
39,39,2018-01-08,@,CHI,W,116,107,39,86,.453,20,54,.370,18,24,.750,11,51,28,6,6,16,14,,40,86,.465,12,28,.429,15,18,.833,3,37,26,6,5,11,17
40,40,2018-01-10,,POR,W,121,112,45,100,.450,12,38,.316,19,25,.760,17,49,25,7,5,13,30,,40,83,.482,9,26,.346,23,32,.719,6,40,21,5,6,12,26
41,41,2018-01-12,@,PHO,W,112,95,39,94,.415,15,47,.319,19,22,.864,14,53,18,11,4,11,14,,37,80,.463,14,33,.424,7,9,.778,4,38,27,5,3,19,19
42,42,2018-01-15,@,LAC,L,102,113,38,94,.404,13,44,.295,13,16,.813,13,37,21,9,4,12,21,,44,79,.557,10,25,.400,15,20,.750,4,41,30,6,10,18,17
43,43,2018-01-18,,MIN,W,116,98,42,88,.477,17,39,.436,15,17,.882,11,45,24,11,5,9,15,,38,81,.469,8,24,.333,14,21,.667,8,40,24,8,8,11,16
44,44,2018-01-20,,GSW,W,116,108,41,87,.471,14,37,.378,20,29,.690,12,46,19,14,3,15,18,,40,82,.488,17,36,.472,11,15,.733,4,33,31,8,10,19,24
45,45,2018-01-22,,MIA,W,99,90,36,81,.444,15,37,.405,12,18,.667,8,38,20,10,3,14,15,,39,82,.476,7,30,.233,5,9,.556,9,42,18,7,4,16,18
46,46,2018-01-24,@,DAL,W,104,97,36,82,.439,21,51,.412,11,23,.478,7,43,20,8,3,9,19,,35,82,.427,15,35,.429,12,18,.667,9,49,24,5,2,13,21
47,47,2018-01-26,@,NOP,L,113,115,36,78,.462,12,36,.333,29,35,.829,2,35,22,10,2,12,23,,44,82,.537,11,27,.407,16,21,.762,6,42,36,8,5,15,26
48,48,2018-01-28,,PHO,W,113,102,32,72,.444,11,37,.297,38,49,.776,5,43,17,8,2,12,21,,36,85,.424,8,33,.242,22,26,.846,7,43,17,7,2,12,29
49,49,2018-01-30,,ORL,W,114,107,39,77,.506,13,35,.371,23,28,.821,8,40,17,5,5,12,15,,42,83,.506,15,31,.484,8,10,.800,7,33,26,6,4,10,22
50,50,2018-02-01,@,SAS,W,102,91,37,83,.446,14,42,.333,14,17,.824,7,38,20,10,7,9,16,,35,83,.422,6,24,.250,15,17,.882,9,46,21,7,5,16,12
51,51,2018-02-03,@,CLE,W,120,88,44,93,.473,19,51,.373,13,16,.813,6,53,28,6,5,8,19,,34,87,.391,8,30,.267,12,16,.750,5,47,22,4,3,11,16
52,52,2018-02-06,@,BRK,W,123,113,45,81,.556,16,33,.485,17,21,.810,8,40,16,7,7,11,14,,41,85,.482,16,35,.457,15,17,.882,10,37,24,8,2,11,17
53,53,2018-02-07,@,MIA,W,109,101,38,74,.514,12,31,.387,21,26,.808,4,35,16,8,6,9,16,,39,88,.443,13,32,.406,10,12,.833,15,41,23,3,3,13,17
54,54,2018-02-09,,DEN,W,130,104,43,86,.500,19,41,.463,25,34,.735,11,48,26,5,7,11,16,,42,88,.477,3,28,.107,17,21,.810,7,39,25,7,2,10,20
55,55,2018-02-11,,DAL,W,104,97,34,78,.436,13,45,.289,23,33,.697,2,42,15,9,7,9,18,,38,93,.409,10,31,.323,11,16,.688,12,52,26,6,4,14,25
56,56,2018-02-13,@,MIN,W,126,108,41,83,.494,22,47,.468,22,29,.759,9,37,25,1,4,6,23,,40,84,.476,6,23,.261,22,23,.957,9,40,22,3,4,8,20
57,57,2018-02-14,,SAC,W,100,91,33,83,.398,14,49,.286,20,22,.909,7,48,19,10,5,13,14,,38,87,.437,10,32,.313,5,8,.625,9,48,26,8,5,17,20
58,58,2018-02-23,,MIN,W,120,102,40,83,.482,14,38,.368,26,30,.867,14,50,24,6,2,10,17,,40,94,.426,10,26,.385,12,16,.750,16,43,19,6,3,10,22
59,59,2018-02-25,@,DEN,W,119,114,39,77,.506,15,35,.429,26,32,.813,11,42,18,7,3,18,23,,44,91,.484,10,29,.345,16,24,.667,12,36,33,13,6,13,27
60,60,2018-02-26,@,UTA,W,96,85,34,79,.430,9,33,.273,19,25,.760,9,40,15,15,2,15,21,,31,71,.437,7,29,.241,16,22,.727,7,39,21,6,4,22,19
61,61,2018-02-28,@,LAC,W,105,92,36,85,.424,13,43,.302,20,24,.833,10,41,21,11,5,10,21,,36,79,.456,7,23,.304,13,19,.684,4,39,17,6,2,16,19
62,62,2018-03-03,,BOS,W,123,120,39,87,.448,19,49,.388,26,30,.867,10,40,24,11,5,10,21,,44,91,.484,13,24,.542,19,21,.905,10,38,22,6,3,13,21
63,63,2018-03-06,@,OKC,W,122,112,38,72,.528,17,33,.515,29,34,.853,7,37,25,11,7,20,20,,46,93,.495,12,34,.353,8,11,.727,12,34,18,12,4,19,28
64,64,2018-03-07,@,MIL,W,110,99,39,82,.476,14,40,.350,18,27,.667,12,47,22,9,5,16,21,,38,83,.458,9,28,.321,14,19,.737,6,38,21,9,3,13,22
65,65,2018-03-09,@,TOR,L,105,108,40,81,.494,9,27,.333,16,23,.696,7,36,15,9,3,13,13,,41,85,.482,15,38,.395,11,14,.786,12,42,22,7,2,16,20
66,66,2018-03-11,@,DAL,W,105,82,39,84,.464,17,45,.378,10,14,.714,6,45,21,5,5,11,22,,33,94,.351,5,31,.161,11,18,.611,17,53,27,5,2,10,18
67,67,2018-03-12,,SAS,W,109,93,39,80,.488,13,44,.295,18,23,.783,9,50,24,6,4,15,24,,33,81,.407,11,28,.393,16,23,.696,7,36,20,5,2,13,17
68,68,2018-03-15,,LAC,W,101,96,35,90,.389,12,41,.293,19,23,.826,16,50,20,4,9,11,13,,44,97,.454,4,18,.222,4,8,.500,11,45,16,3,4,9,21
69,69,2018-03-17,@,NOP,W,107,101,39,93,.419,15,41,.366,14,18,.778,13,46,19,8,7,7,19,,41,83,.494,8,24,.333,11,12,.917,6,40,18,4,8,12,19
70,70,2018-03-18,@,MIN,W,129,120,43,78,.551,16,35,.457,27,36,.750,8,33,28,7,8,11,26,,45,86,.523,10,20,.500,20,26,.769,14,41,24,7,1,12,26
71,71,2018-03-20,@,POR,W,115,111,38,79,.481,19,36,.528,20,29,.690,7,38,18,3,4,9,23,,40,81,.494,11,28,.393,20,27,.741,10,44,20,6,7,8,18
72,72,2018-03-22,,DET,W,100,96,35,99,.354,12,51,.235,18,28,.643,12,52,19,9,3,12,19,,40,95,.421,6,38,.158,10,19,.526,16,66,22,9,5,15,17
73,73,2018-03-24,,NOP,W,114,91,45,93,.484,18,47,.383,6,8,.750,5,48,22,10,8,19,17,,38,96,.396,6,21,.286,9,12,.750,12,46,19,10,6,16,14
74,74,2018-03-25,,ATL,W,118,99,44,90,.489,20,52,.385,10,11,.909,6,45,28,7,4,11,12,,39,88,.443,11,40,.275,10,11,.909,7,45,18,5,2,13,14
75,75,2018-03-27,,CHI,W,118,86,41,93,.441,18,57,.316,18,21,.857,9,46,28,15,6,10,12,,34,89,.382,8,37,.216,10,17,.588,13,51,17,8,1,18,17
76,76,2018-03-30,,PHO,W,104,103,35,81,.432,14,38,.368,20,29,.690,8,39,22,9,7,10,12,,41,84,.488,12,32,.375,9,13,.692,8,46,23,8,5,17,21
77,77,2018-04-01,@,SAS,L,83,100,26,77,.338,7,31,.226,24,29,.828,8,42,12,3,3,9,19,,40,81,.494,6,17,.353,14,21,.667,8,48,19,8,8,8,19
78,78,2018-04-03,,WAS,W,120,104,43,84,.512,16,46,.348,18,27,.667,10,46,26,13,3,9,14,,38,72,.528,12,25,.480,16,23,.696,3,36,25,6,1,17,21
79,79,2018-04-05,,POR,W,96,94,34,73,.466,13,37,.351,15,24,.625,6,38,16,10,5,15,16,,39,85,.459,7,22,.318,9,14,.643,12,47,16,10,2,18,20
80,80,2018-04-07,,OKC,L,102,108,36,76,.474,14,37,.378,16,23,.696,6,41,23,7,5,17,24,,36,91,.396,10,33,.303,26,33,.788,15,42,21,11,5,12,20
81,81,2018-04-10,@,LAL,W,105,99,37,88,.420,16,47,.340,15,16,.938,8,49,19,9,5,18,19,,38,90,.422,10,36,.278,13,15,.867,9,47,22,14,4,17,19
82,82,2018-04-11,@,SAC,L,83,96,31,82,.378,13,46,.283,8,12,.667,8,40,11,2,6,14,24,,38,80,.475,7,26,.269,13,20,.650,6,48,22,6,3,11,14
