team,yardso,yardsd,drank,orank
Arizona Cardinals,314.4375,310.8125,6.082377764188928,9.493165569423605
Atlanta Falcons,364.8125,318.375,5.1993677677451915,5.573673991705175
Baltimore Ravens,305.375,325.0625,7.918358435662971,8.771284301740135
Buffalo Bills,302.625,355.125,8.119894108488058,10.237454644099603
Carolina Panthers,323.6875,317.125,4.922595868634408,7.700924082821139
Chicago Bears,287.4375,319.125,6.257374057274741,9.59382756363446
Cincinnati Bengals,280.5,339.0625,7.846056718291339,10.030939249454844
Cleveland Browns,308.875,328.125,7.555180893532075,7.626380771241238
Dallas Cowboys,331.9375,318.0625,6.214476068958644,7.688154025447057
Denver Broncos,324.0625,290.0,4.517124759483013,9.608774145625022
Detroit Lions,337.75,355.8125,9.788223375591198,6.229920592615679
Green Bay Packers,305.6875,348.875,8.228076801282892,8.782997646602855
Houston Texans,320.0,346.625,7.708226785378251,7.095384705111757
Indianapolis Colts,284.5625,367.0625,9.378181051935014,10.62507894544396
Jacksonville Jaguars,365.9375,286.125,3.8543126292160252,5.1045746693627905
Kansas City Chiefs,375.4375,365.125,8.161273078335928,4.6067909549473365
Los Angeles Chargers,376.625,328.375,7.033247040556819,4.905222039438812
Los Angeles Rams,361.5,339.75,6.661078681541204,5.2781920662026796
Miami Dolphins,307.6875,335.6875,6.4075703814780685,9.604926476305108
Minnesota Vikings,356.875,275.9375,3.5880967754130726,6.004902388233472
New England Patriots,394.1875,366.0,9.399526461523225,4.003446391582947
New Orleans Saints,391.1875,336.5,6.302047194308594,3.74684277719143
New York Giants,314.25,373.1875,8.18988114663258,8.20589394386327
New York Jets,305.25,352.25,7.872513930311628,8.60437241877266
Oakland Raiders,324.0625,350.0625,7.444765491403023,7.562702545107606
Philadelphia Eagles,365.75,306.5,5.302274927799889,4.4493801362670995
Pittsburgh Steelers,377.9375,306.875,5.964913771838413,4.931270618282474
San Francisco 49ers,349.1875,351.5625,8.422918295563381,5.344191152273014
Seattle Seahawks,330.375,323.1875,6.03210549391213,5.864423289815533
Tampa Bay Buccaneers,363.375,378.0625,9.314034953867134,4.9153796054140075
Tennessee Titans,314.0,328.0,7.201284604305368,8.093376743430655
Washington Redskins,324.9375,347.875,6.980919108798676,6.99212223595116
